,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
7493,20,CherryChestnut Wells,Kieran,Nicholls,21,Son,Single,Male,Hospital doctor,None,Christian
7494,21,CherryChestnut Wells,Mathew,Davison,52,Head,Married,Male,Fish farm manager,None,Christian
7495,21,CherryChestnut Wells,Angela,Davison,49,Wife,Married,Female,Operations geologist,None,Christian
7496,21,CherryChestnut Wells,Abdul,Davison,31,Son,Single,Male,Clinical molecular geneticist,None,None
7497,21,CherryChestnut Wells,Leon,Davison,26,Son,Divorced,Male,"Geneticist, molecular",None,Christian
7498,21,CherryChestnut Wells,Lee,Davison,11,Son,NA,Male,Student,None,NA
7499,22,CherryChestnut Wells,Georgina,Barlow,28,Head,Single,Female,Medical technical officer,None,None
7500,23,CherryChestnut Wells,Hilary,Potter,45,Head,Married,Female,"Editor, commissioning",None,None
7501,23,CherryChestnut Wells,Nathan,Potter,47,Husband,Married,Male,Veterinary surgeon,None,None
7502,23,CherryChestnut Wells,Lynne,Potter,18,Daughter,Divorced,Female,Student,None,None
7503,23,CherryChestnut Wells,Oliver,Potter,15,Son,NA,Male,Student,None,NA
7504,24,CherryChestnut Wells,Dale,Wood,81,Head,Married,Male,Retired Conference centre manager,None,None
7505,24,CherryChestnut Wells,Rachel,Wood,75,Wife,Married,Female,Retired Geographical information systems officer,None,None
7506,25,CherryChestnut Wells,Pamela,Dale,29,Head,Divorced,Female,Clinical psychologist,None,Christian
7507,25,CherryChestnut Wells,Jake,Dale,8,Son,NA,Male,Student,None,NA
7508,25,CherryChestnut Wells,Jacqueline,Dale,5,Daughter,NA,Female,Student,None,NA
7509,25,CherryChestnut Wells,Shannon,Dale,2,Daughter,NA,Female,Child,None,NA
7510,26,CherryChestnut Wells,Christine,Smith,28,Head,Married,female,Theatre manager,None,Catholic
7511,26,CherryChestnut Wells,Stewart,Smith,26,Husband,Married,Male,Unemployed,None,Catholic
7512,27,CherryChestnut Wells,Angela,Jackson,75,Head,Married,Female,Retired Water quality scientist,None,None
7513,27,CherryChestnut Wells,Graham,Jackson,77,Husband,Married,Male,"Retired Surveyor, minerals",None,None
7514,27,CherryChestnut Wells,Reece,Shepherd,20,Grandson,Single,Male,University Student,None,None
7515,27,CherryChestnut Wells,Dennis,Harding,16,Grandson,NA,Male,Student,None,NA
7516,27,CherryChestnut Wells,Alison,Patel,13,Granddaughter,NA,Female,Student,None,NA
7517,27,CherryChestnut Wells,Glenn,Patel,13,Grandson,NA,Male,Student,None,NA
7518,28,CherryChestnut Wells,Maureen,Andrews,29,Head,Single,Female,"Designer, textile",None,None
7519,28,CherryChestnut Wells,Martin,Allen,28,Partner,Single,Male,Hotel manager,None,None
7520,28,CherryChestnut Wells,Sylvia,Andrews,13,Daughter,NA,Female,Student,None,NA
7521,28,CherryChestnut Wells,Sean,Andrews,9,Son,NA,M,Student,None,NA
7522,29,CherryChestnut Wells,Amber,Hudson,57,Head,Single,Female,Farm manager,None,Christian
7523,29,CherryChestnut Wells,Alan,Hudson,30,Son,Single,Male,Music therapist,None,Christian
7524,29,CherryChestnut Wells,Aimee,Hudson,23,Daughter,Divorced,Female,"Geneticist, molecular",None,Christian
7525,30,CherryChestnut Wells,Douglas,Turner,34,Head,Single,Male,Health physicist,None,Catholic
7526,30,CherryChestnut Wells,Aaron,Jenkins,54,None,Single,Male,Hospital doctor,None,None
7527,30,CherryChestnut Wells,Jane,Norman,51,None,Single,Female,Amenity horticulturist,None,Christian
7528,30,CherryChestnut Wells,Ashleigh,Smith,36,None,Single,Female,Theme park manager,None,None
7529,31,CherryChestnut Wells,Eileen,Williams,44,Head,Married,Female,"Buyer, industrial",None,Christian
7530,31,CherryChestnut Wells,Ryan,Williams,47,Husband,Married,Male,Chartered certified accountant,None,Christian
7531,31,CherryChestnut Wells,Ben,Williams,16,Son,NA,Male,Student,None,NA
7532,31,CherryChestnut Wells,Denis,Williams,16,Son,NA,Male,Student,None,NA
7533,32,CherryChestnut Wells,Graeme,Scott,52,Head,Divorced,Male,Theatre director,None,Christian
7534,32,CherryChestnut Wells,Judith,Scott,32,Daughter,Single,Female,Set designer,None,None
7535,32,CherryChestnut Wells,Dean,Scott,31,Son,Divorced,Male,Editorial assistant,None,None
7536,32,CherryChestnut Wells,Jayne,Scott,27,Daughter,Single,Female,"Physicist, medical",None,Christian
7537,33,CherryChestnut Wells,Dawn,Jackson,27,Head,Single,Female,Volunteer coordinator,None,None
7538,33,CherryChestnut Wells,Hayley,Morris,53,None,Single,Female,Statistician,None,Sikh
7539,33,CherryChestnut Wells,Adrian,Watson,18,None,Single,male,Student,None,NA
7540,1,Reindeertill Drive,Kevin,Martin,74,Head,Widowed,Male,Retired Multimedia specialist,None,None
7541,2,Reindeertill Drive,Gareth,Gardiner,72,Head,Married,Male,"Retired Education officer, community",None,None
7542,2,Reindeertill Drive,Holly,Gardiner,67,Wife,Married,Female,Media buyer,None,None
7543,3,Reindeertill Drive,Ruth,Field,43,Head,Married,Female,Engineering geologist,None,None
7544,3,Reindeertill Drive,Darren,Field,43,Husband,Married,Male,Unemployed,None,None
7545,3,Reindeertill Drive,Wendy,Field,19,Daughter,Single,Female,University Student,None,None
7546,3,Reindeertill Drive,Jeffrey,Morgan-Field,15,Son,NA,Male,Student,None,NA
7547,3,Reindeertill Drive,Pamela,Morgan-Field,9,Daughter,NA,Female,Student,None,NA
7548,4,Reindeertill Drive,Anne,Walker,46,Head,Single,Female,Database administrator,None,Catholic
7549,4,Reindeertill Drive,Dominic,Carter,20,None,Single,Male,University Student,None,Sikh
7550,4,Reindeertill Drive,Graeme,Hayward,34,None,Single,Male,"Doctor, hospital",None,None
7551,4,Reindeertill Drive,Naomi,Jones,27,None,Single,Female,"Designer, industrial/product",None,None
7552,4,Reindeertill Drive,Ellie,Murphy,21,None,Single,Female,University Student,None,Catholic
7553,5,Reindeertill Drive,Leslie,Riley,72,Head,Widowed,Male,"Retired Scientist, research (physical sciences)",None,Christian
7554,5,Reindeertill Drive,June,Khan,16,Granddaughter,NA,Female,Student,None,NA
7555,6,Reindeertill Drive,Darren,Barker,69,Head,Married,Male,Retired Armed forces technical officer,None,None
7556,6,Reindeertill Drive,Anne,Barker,65,Wife,Married,Female,Social worker,None,None
7557,7,Reindeertill Drive,Graeme,Matthews,49,Head,Divorced,Male,Unemployed,None,None
7558,7,Reindeertill Drive,Sally,Matthews,15,Daughter,NA,Female,Student,None,NA
7559,7,Reindeertill Drive,Bradley,Matthews,10,Son,NA,Male,Student,None,NA
7560,7,Reindeertill Drive,Irene,Matthews,10,Daughter,NA,Female,Student,None,NA
7561,8,Reindeertill Drive,Bethan,Little,64,Head,Married,Female,Chartered accountant,None,Christian
7562,8,Reindeertill Drive,Robin,Little,68,Husband,Married,Male,Retired Merchant navy officer,None,Christian
7563,8,Reindeertill Drive,Jade,Little,26,Daughter,Single,Female,Market researcher,None,Christian
7564,8,Reindeertill Drive,Martin,Little,23,Son,Single,Male,Unemployed,None,Christian
7565,8,Reindeertill Drive,Kevin,Alexander-Little,23,Son,Single,Male,Learning mentor,None,Christian
7566,8,Reindeertill Drive,Mohammed,Alexander-Little,3,Son,NA,Male,Child,None,NA
7567,9,Reindeertill Drive,Chelsea,Williams,67,Head,Widowed,Female,Tree surgeon,None,Christian
7568,9,Reindeertill Drive,Marcus,Williams,30,Son,Single,Male,Arts administrator,None,None
7569,10,Reindeertill Drive,Jayne,Smith,49,Head,Married,Female,Hospital pharmacist,None,None
7570,10,Reindeertill Drive,Jay,Smith-Thomas,54,Husband,Married,Male,Prison officer,None,None
7571,10,Reindeertill Drive,Alan,Smith-Thomas,17,Son,NA,Male,Student,None,NA
7572,10,Reindeertill Drive,Gillian,Smith-Thomas,16,Daughter,NA,Female,Student,None,NA
7573,11,Reindeertill Drive,Grace,Walker,42,Head,Single,Female,"Engineer, electrical",None,Christian
7574,11,Reindeertill Drive,Jay,Walker,8,Son,NA,Male,Student,None,NA
7575,12,Reindeertill Drive,Lindsey,Flynn,49,Head,Divorced,Female,Unemployed,None,None
7576,12,Reindeertill Drive,Stephen,Flynn,18,Son,Single,Male,Student,None,Christian
7577,12,Reindeertill Drive,Dale,Lowe,14,Son,NA,Male,Student,None,NA
7578,13,Reindeertill Drive,Thomas,Chadwick,36,Head,Married,Male,Drilling engineer,None,Catholic
7579,13,Reindeertill Drive,Harriet,Chadwick,32,Wife,Married,female,Neurosurgeon,None,Catholic
7580,14,Reindeertill Drive,Billy,Thomson,47,Head,Married,Male,Ranger/warden,None,Catholic
7581,14,Reindeertill Drive,Caroline,Thomson,42,Wife,Married,Female,Pathologist,None,Catholic
7582,15,Reindeertill Drive,Lucy,Harrison,40,Head,Married,Female,Chief Strategy Officer,None,Christian
7583,15,Reindeertill Drive,Lawrence,Harrison,39,Husband,Married,Male,"Programmer, systems",None,Christian
7584,16,Reindeertill Drive,Katie,Thomas,35,Head,Single,Female,"Therapist, drama",None,Methodist
7585,16,Reindeertill Drive,Mohamed,Richardson,61,None,Single,Male,"Administrator, local government",None,Christian
7586,17,Reindeertill Drive,Tina,Harrison,72,Head,Married,Female,Retired Retail merchandiser,None,Methodist
7587,17,Reindeertill Drive,Elliott,Harrison,76,Husband,Married,Male,Retired Retail buyer,None,Methodist
7588,18,Reindeertill Drive,Hilary,Russell,55.53517458,Head,Married,Female,"Teacher, secondary school",None,Catholic
7589,18,Reindeertill Drive,Guy,Holmes,61.53517458,Husband,Married,Male,IT trainer,None,Catholic
7590,18,Reindeertill Drive,Alex,Russell,3,Son,NA,Male,Child,None,NA
7591,19,Reindeertill Drive,Harry,Ferguson,36,Head,Divorced,Male,Hydrologist,None,Christian
7592,20,Reindeertill Drive,Debra,Smith,55,Head,Married,Female,Public house manager,None,Christian
7593,20,Reindeertill Drive,Carl,Smith,53,Husband,Married,Male,"Scientist, biomedical",None,None
7594,20,Reindeertill Drive,Joanne,Miller-Smith,13,Daughter,NA,Female,Student,None,NA
7595,21,Reindeertill Drive,Clive,Jackson,21,Head,Single,M,University Student,None,None
7596,21,Reindeertill Drive,Ann,Dickinson,19,None,Single,Female,University Student,None,Catholic
7597,21,Reindeertill Drive,Rosemary,Bevan,22,None,Single,Female,University Student,None,Methodist
7598,21,Reindeertill Drive,Harry,Boyle,18,None,Single,Male,University Student,None,Methodist
7599,22,Reindeertill Drive,Sophie,Fisher,39,Head,Married,Female,"Librarian, academic",None,Catholic
7600,22,Reindeertill Drive,Mathew,Fisher,44,Husband,Married,Male,"Administrator, charities/voluntary organisations",None,None
7601,23,Reindeertill Drive,Deborah,Moss,45,Head,Married,Female,Air traffic controller,None,Christian
7602,23,Reindeertill Drive,Robert,Moss-Williams,47,Husband,Married,Male,Emergency planning/management officer,None,Christian
7603,23,Reindeertill Drive,Helen,Moss-Williams,15,Daughter,NA,Female,Student,None,NA
7604,24,Reindeertill Drive,Alan,Wyatt,75,Head,Married,Male,Retired Historic buildings inspector/conservation officer,None,Christian
7605,24,Reindeertill Drive,Lynne,Wyatt,73,Wife,Married,Female,Retired Public relations account executive,None,Christian
7606,25,Reindeertill Drive,Laura,Hewitt-Kelly,28,Head,Married,Female,"Nurse, children's",None,Methodist
7607,25,Reindeertill Drive,Joshua,Hewitt-Kelly,32,Husband,Married,Male,"Engineer, manufacturing",None,Methodist
7608,25,Reindeertill Drive,Oliver,Hewitt-Kelly,11,Son,NA,Male,Student,None,NA
7609,25,Reindeertill Drive,Rachel,Hewitt-Kelly,8,Daughter,NA,Female,Student,None,NA
7610,25,Reindeertill Drive,Anna,Hill,6,Daughter,NA,Female,Student,None,NA
7611,26,Reindeertill Drive,Susan,Carter,45,Head,Married,Female,Health physicist,None,None
7612,26,Reindeertill Drive,Jordan,Carter,45,Husband,Married,Male,Control and instrumentation engineer,None,None
7613,26,Reindeertill Drive,Pauline,Rogers-Carter,10,Daughter,NA,Female,Student,None,NA
7614,27,Reindeertill Drive,Diana,Jones,43,Head,Married,Female,Commercial/residential surveyor,None,None
7615,27,Reindeertill Drive,Leigh,Jones,47,Husband,Married,Male,Planning and development surveyor,None,None
7616,28,Reindeertill Drive,Alexandra,Rose,58,Head,Married,Female,Geographical information systems officer,None,None
7617,28,Reindeertill Drive,Mathew,Rose,60,Husband,Married,Male,Geographical information systems officer,None,None
7618,28,Reindeertill Drive,Jeffrey,Rose,28,Son,Single,Male,"Psychotherapist, child",None,None
7619,28,Reindeertill Drive,Donald,Rose,14,Son,NA,Male,Student,None,NA
7620,29,Reindeertill Drive,Michelle,Bennett,40,Head,Married,Female,"Producer, radio",None,Methodist
7621,29,Reindeertill Drive,Josh,Bennett,47,Husband,Married,Male,"Engineer, automotive",None,None
7622,29,Reindeertill Drive,Hugh,Bennett,15,Son,NA,Male,Student,None,NA
7623,29,Reindeertill Drive,Bethan,Watson,11,Daughter,NA,Female,Student,None,NA
7624,29,Reindeertill Drive,Dean,Watson,11,Son,NA,Male,Student,None,NA
7625,30,Reindeertill Drive,Jodie,Rogers,93,Head,Married,Female,Retired Energy manager,None,Christian
7626,30,Reindeertill Drive,William,Rogers,95,Husband,Married,Male,Retired Photographer,None,Christian
7627,31,Reindeertill Drive,Victoria,Walker,76,Head,Married,Female,Retired Building control surveyor,None,Catholic
7628,31,Reindeertill Drive,Mohammad,Walker,77,Husband,Married,Male,Unemployed,None,Catholic
7629,31,Reindeertill Drive,Jacqueline,May,20,Granddaughter,Single,Female,University Student,None,None
7630,31,Reindeertill Drive,Bradley,Schofield-May,17,Grandson,NA,Male,Student,None,NA
7631,32,Reindeertill Drive,Donna,Mitchell,38,Head,Single,Female,Unemployed,None,Christian
7632,32,Reindeertill Drive,Chloe,Mitchell,2,Daughter,NA,Female,Child,None,NA
7633,1,Vulture Rue,Anne,Lane,72,Head,Widowed,Female,Retired Customer service manager,None,Christian
7634,2,Vulture Rue,Barbara,Taylor,82,Head,Widowed,Female,"Retired Designer, fashion/clothing",None,Christian
7635,3,Vulture Rue,Nathan,Kelly,86,Head,Divorced,Male,Retired Banker,None,Christian
7636,4,Vulture Rue,Jacqueline,Lowe,30,Head,Single,Female,Unemployed,None,Methodist
7637,4,Vulture Rue,Sarah,Lowe,10,Daughter,NA,Female,Student,None,NA
7638,5,Vulture Rue,Christian,Bates,84,Head,Divorced,Male,"Retired Engineer, structural",None,Methodist
7639,6,Vulture Rue,Terence,Barrett,23,Head,Single,Male,Field seismologist,None,None
7640,6,Vulture Rue,Max,Evans,58,None,Single,Male,Planning and development surveyor,None,Catholic
7641,7,Vulture Rue,Trevor,Kennedy,56,Head,Single,Male,Unemployed,None,Christian
7642,8,Vulture Rue,Luke,Barnes,71,Head,Single,Male,Retired Media planner,Deaf,Christian
7643,9,Vulture Rue,Kirsty,Walsh-Johnson,24,Head,Single,Female,"Accountant, chartered certified",None,Christian
7644,9,Vulture Rue,Nicholas,Holden,22,Partner,Single,Male,University Student,None,None
7645,9,Vulture Rue,Luke,Walsh-Johnson,2,Son,NA,Male,Child,None,NA
7646,10,Vulture Rue,Kim,Roberts,31,Head,Single,Female,"Chemist, analytical",None,None
7647,10,Vulture Rue,Oliver,Williams,27,Partner,Single,Male,"Librarian, academic",None,None
7648,10,Vulture Rue,Benjamin,Roberts,13,Son,NA,Male,Student,None,NA
7649,11,Vulture Rue,Caroline,McKenzie,67,Head,Widowed,Female,Office manager,None,Christian
7650,12,Vulture Rue,Tony,Wells,73,Head,Widowed,Male,Retired Clinical embryologist,None,None
7651,13,Vulture Rue,Victoria,Burke,73,Head,Widowed,Female,Retired Clothing/textile technologist,None,Christian
7652,14,Vulture Rue,Dennis,Morrison,52,Head,Single,Male,Financial risk analyst,None,Christian
7653,14,Vulture Rue,Stephen,Dickinson,54,None,Single,Male,Sports development officer,None,Christian
7654,1,Albert Road,Liam,Evans,23,Head,Single,Male,Clinical psychologist,None,None
7655,1,Albert Road,Pamela,Manning,38,None,Single,Female,Licensed conveyancer,None,Catholic
7656,2,Albert Road,Julian,Fletcher,66,Head,Widowed,Male,Publishing rights manager,None,None
7657,3,Albert Road,Kerry,Jackson,73,Head,Married,female,"Retired Surveyor, mining",None,None
7658,3,Albert Road,Adam,Jackson,77,Husband,Married,Male,Retired Trade union research officer,None,None
7659,4,Albert Road,Abdul,Patel,103,Head,Single,Male,"Retired Education officer, community",None,Methodist
7660,5,Albert Road,Richard,Charlton,41,Head,Married,Male,Landscape architect,None,None
7661,5,Albert Road,Zoe,Charlton,39,Wife,Married,Female,"Conservator, museum/gallery",None,None
7662,6,Albert Road,George,Warren,18,Head,Single,Male,Student,None,NA
7663,6,Albert Road,Scott,Cooper,55,None,Single,Male,Medical sales representative,None,None
7664,6,Albert Road,Clare,Holland,21,None,Single,Female,University Student,None,None
7665,7,Albert Road,Janet,Walker,46,Head,Married,Female,Mechanical engineer,None,Catholic
7666,7,Albert Road,Simon,Walker,47,Husband,Married,Male,Financial adviser,None,None
7667,7,Albert Road,Scott,Walker,5,Son,NA,Male,Student,None,NA
7668,8,Albert Road,Alex,French,82,Head,Widowed,Male,"Retired Solicitor, Scotland",None,Methodist
7669,9,Albert Road,June,Evans,30,Head,Married,Female,"Therapist, horticultural",None,None
7670,9,Albert Road,Garry,Evans,27,Husband,Married,Male,Mechanical engineer,None,None
7671,9,Albert Road,Denis,Evans,13,Son,NA,Male,Student,None,NA
7672,9,Albert Road,Sian,Evans,12,Daughter,NA,Female,Student,None,NA
7673,9,Albert Road,Thomas,Evans,8,Son,NA,Male,Student,None,NA
7674,10,Albert Road,Lorraine,Burke,44,Head,Married,Female,Building surveyor,None,Catholic
7675,10,Albert Road,Gary,Burke,48,Husband,Married,Male,Armed forces logistics/support/administrative officer,None,Catholic
7676,11,Albert Road,Gordon,Lawson,26,Head,Single,Male,"Engineer, materials",None,None
7677,12,Albert Road,Diane,Harding,24,Head,Married,Female,Garment/textile technologist,None,Christian
7678,12,Albert Road,Joshua,Harding,29,Husband,Married,Male,"Conservator, furniture",None,Christian
7679,12,Albert Road,Keith,Harding,3,Son,NA,Male,Child,None,NA
7680,12,Albert Road,Margaret,Harding,1,Daughter,NA,Female,Child,None,NA
7681,12,Albert Road,Patrick,Robinson,46,Lodger,Single,Male,"Engineer, biomedical",None,Christian
7682,13,Albert Road,Denise,Martin,54,Head,Married,Female,Proofreader,None,Catholic
7683,13,Albert Road,Bernard,Martin,52,Husband,Married,Male,Prison officer,None,Catholic
7684,14,Albert Road,Denise,Burke,38,Head,Divorced,Female,Unemployed,None,Catholic
7685,14,Albert Road,Cheryl,Burke,18,Daughter,Single,Female,Student,None,Catholic
7686,14,Albert Road,Graham,Burke,18,Son,Single,Male,Student,None,Catholic
7687,14,Albert Road,Abigail,Burke,15,Daughter,NA,Female,Student,None,NA
7688,14,Albert Road,Victoria,Burke,12,Daughter,NA,Female,Student,None,NA
7689,14,Albert Road,Neil,Burke,6,Son,NA,Male,Student,None,NA
7690,15,Albert Road,Kayleigh,North,40,Head,Married,Female,Mudlogger,None,Catholic
7691,15,Albert Road,Scott,North,39,Husband,Married,Male,Primary school teacher,None,Catholic
7692,16,Albert Road,Ashley,Johnson,22,Head,Single,Male,University Student,None,Christian
7693,16,Albert Road,Guy,Rogers,44,None,Single,m,Unemployed,None,Catholic
7694,17,Albert Road,Gareth,Carpenter,35,Head,Divorced,Male,Unemployed,None,Catholic
7695,17,Albert Road,Victoria,Townsend,50,Lodger,Single,Female,"Engineer, civil (contracting)",None,Catholic
7696,18,Albert Road,Peter,Hughes,60,Head,Married,Male,Planning and development surveyor,None,Methodist
7697,18,Albert Road,Sylvia,Hughes,59,Wife,Married,Female,Unemployed,None,None
7698,19,Albert Road,Dawn,Bolton,70,Head,Married,Female,Retired Office manager,None,Christian
7699,19,Albert Road,Dylan,Bolton,70,Husband,Married,Male,"Retired Psychotherapist, dance movement",None,None
7700,20,Albert Road,Charlie,Parker,29,Head,Single,Male,Medical laboratory scientific officer,None,Christian
7701,21,Albert Road,Conor,Taylor,61,Head,Single,Male,Magazine features editor,None,None
7702,22,Albert Road,Irene,Williams,41,Head,Married,Female,Leisure centre manager,None,Christian
7703,22,Albert Road,Barry,Williams,43,Husband,Married,Male,Arts development officer,None,Christian
7704,22,Albert Road,Lorraine,Williams,6,Daughter,NA,Female,Student,None,NA
7705,23,Albert Road,Natalie,Brown,56,Head,Married,Female,Electrical engineer,None,Christian
7706,23,Albert Road,Nathan,Brown,59,Husband,Married,Male,"Scientist, research (maths)",None,None
7707,23,Albert Road,Sara,Brown,15,Daughter,NA,Female,Student,None,NA
7708,24,Albert Road,Kelly,Lowe,31,Head,Married,Female,Recruitment consultant,None,None
7709,24,Albert Road,Jeffrey,Lowe,37,Husband,Married,Male,Publishing copy,None,None
7710,24,Albert Road,Valerie,Lowe,7,Daughter,NA,Female,Student,None,NA
7711,24,Albert Road,Sally,Lowe,4,Daughter,NA,Female,Child,None,NA
7712,24,Albert Road,Hollie,Lowe,3,Daughter,NA,Female,Child,None,NA
7713,25,Albert Road,Kimberley,Bates,43,Head,Married,Female,"Restaurant manager, fast food",None,Christian
7714,25,Albert Road,William,Bates,40,Husband,Married,Male,Restaurant manager,None,None
7715,25,Albert Road,Teresa,Bates,17,Daughter,NA,Female,Student,None,NA
7716,25,Albert Road,Margaret,Bates,13,Daughter,NA,Female,Student,None,NA
7717,26,Albert Road,Samantha,Riley,41,Head,Single,Female,Research scientist (medical),None,Christian
7718,26,Albert Road,Patrick,Dawson,42,Partner,Single,Male,Forensic psychologist,None,Christian
7719,26,Albert Road,Damien,Riley,22,Son,Single,Male,University Student,None,Christian
7720,26,Albert Road,Kenneth,Riley,3,Son,NA,m,Child,None,NA
7721,27,Albert Road,Rachel,Khan,48,Head,Married,Female,English as a second language teacher,None,Catholic
7722,27,Albert Road,Nicholas,Khan,53,Husband,Married,Male,"Research officer, government",None,Catholic
7723,27,Albert Road,Hollie,Smith-Khan,11,Daughter,NA,Female,Student,None,NA
7724,27,Albert Road,Jade,Smith-Khan,8,Daughter,NA,Female,Student,None,NA
7725,28,Albert Road,Diane,Connolly,43,Head,Married,Female,Location manager,None,None
7726,28,Albert Road,Alexander,Connolly,43,Husband,Married,Male,Aeronautical engineer,None,None
7727,28,Albert Road,Ross,Connolly,11,Son,NA,Male,Student,None,NA
7728,28,Albert Road,Lynne,Connolly,9,Daughter,NA,Female,Student,None,NA
7729,29,Albert Road,Samuel,Smith,43,Head,Married,Male,Ergonomist,None,Christian
7730,29,Albert Road,Rita,Smith,40,Wife,Married,Female,Veterinary surgeon,None,Christian
7731,29,Albert Road,Duncan,Smith,9,Step-Son,NA,m,Student,None,NA
7732,29,Albert Road,Jacqueline,Wood,8,Step-Daughter,NA,Female,Student,None,NA
7733,29,Albert Road,Samantha,Wood,6,Step-Daughter,NA,Female,Student,None,NA
7734,30,Albert Road,Annette,Newton,47,Head,Married,Female,Health and safety adviser,None,Methodist
7735,30,Albert Road,Bryan,Newton,52,Husband,Married,Male,Quantity surveyor,None,None
7736,31,Albert Road,Martin,Brady,32,Head,Married,Male,Midwife,None,None
7737,31,Albert Road,Mary,Brady,34,Wife,Married,Female,Event organiser,None,None
7738,32,Albert Road,Ross,Walker,28,Head,Single,Male,Materials engineer,None,None
7739,32,Albert Road,Eileen,Gray,22,Partner,Single,Female,University Student,None,None
7740,33,Albert Road,Barbara,Patel,44,Head,Married,Female,Games developer,None,Catholic
7741,33,Albert Road,Tony,Patel,48,Husband,Married,Male,Information officer,None,Catholic
7742,33,Albert Road,Samantha,Patel,6,Daughter,NA,Female,Student,None,NA
7743,34,Albert Road,Sandra,Hall,70,Head,Widowed,Female,Retired Surgeon,None,Christian
7744,34,Albert Road,Luke,Baker,17,Grandson,NA,Male,Student,None,NA
7745,35,Albert Road,Glenn,Singh,34,Head,Single,Male,Financial trader,None,Christian
7746,35,Albert Road,Katie,Hunt,32,Partner,Single,Female,English as a foreign language teacher,None,None
7747,35,Albert Road,Angela,Jones,43,Lodger,Single,Female,"Embryologist, clinical",None,Catholic
7748,35,Albert Road,Kelly,Mason,56,Lodger,Single,Female,Hotel manager,None,Methodist
7749,35,Albert Road,Joel,Day,28,Lodger,Single,Male,"Engineer, structural",None,Christian
7750,36,Albert Road,Marie,Rose,49,Head,Single,Female,"Teacher, English as a foreign language",None,Christian
7751,36,Albert Road,Roger,Rose,10,Son,NA,Male,Student,None,NA
7752,37,Albert Road,Jeffrey,Bruce,60,Head,Single,Male,Legal executive,None,Christian
7753,38,Albert Road,Hayley,Lewis,23,Head,Married,Female,Public house manager,None,Methodist
7754,38,Albert Road,Daniel,Lewis,26,Husband,Married,Male,"Designer, multimedia",None,Methodist
7755,39,Albert Road,Anne,Dale,63,Head,Divorced,Female,Unemployed,None,Christian
7756,39,Albert Road,Marion,Dale,28,Daughter,Divorced,Female,Museum education officer,None,Christian
7757,39,Albert Road,Rebecca,Dale,27,Daughter,Single,Female,Community arts worker,None,Christian
7758,39,Albert Road,Dylan,Harding,24,Son,Single,Male,Water engineer,None,None
7759,40,Albert Road,Amelia,Jenkins,30,Head,Single,female,"Librarian, academic",None,Catholic
7760,40,Albert Road,Mohammad,Wallis,27,Partner,Single,Male,Psychiatric nurse,None,Catholic
7761,41,Albert Road,Tony,Phillips,69,Head,Married,Male,"Retired Scientist, biomedical",None,None
7762,41,Albert Road,Joyce,Phillips,65,Wife,Married,Female,Dancer,None,None
7763,42,Albert Road,Sean,Johnson,77,Head,Widowed,Male,Retired Insurance claims handler,None,Christian
7764,42,Albert Road,Sally,Johnson,16,Granddaughter,NA,Female,Student,None,NA
7765,43,Albert Road,Sheila,Warner,26,Head,Married,Female,Legal executive,None,Muslim
7766,43,Albert Road,Mathew,Warner,26,Husband,Married,Male,"Administrator, local government",None,Muslim
7767,44,Albert Road,Frank,Morris,85,Head,Married,Male,Retired Holiday representative,None,Methodist
7768,44,Albert Road,Naomi,Morris,83,Wife,Married,Female,Retired Broadcast engineer,None,None
7769,45,Albert Road,Nigel,Begum,46,Head,Married,Male,Economist,None,Methodist
7770,45,Albert Road,Claire,Begum,46,Wife,Married,Female,"Scientist, clinical (histocompatibility and immunogenetics)",None,Methodist
7771,46,Albert Road,Kirsty,Moore,50,Head,Married,Female,Unemployed,None,None
7772,46,Albert Road,Connor,Moore,55,Husband,Married,Male,Commissioning editor,None,None
7773,46,Albert Road,Grace,Moore,23,Daughter,Single,Female,"Engineer, drilling",None,None
7774,46,Albert Road,Oliver,Moore,2,Son,NA,Male,Child,None,NA
7775,47,Albert Road,Keith,Ryan,31,Head,Single,Male,Architect,None,None
7776,47,Albert Road,Sally,Vaughan,28,Partner,Single,Female,Clinical cytogeneticist,None,None
7777,48,Albert Road,Lorraine,Jones,61,Head,Married,Female,Orthoptist,None,Catholic
7778,48,Albert Road,Simon,Jones,63,Husband,Married,Male,Manufacturing systems engineer,None,None
7779,48,Albert Road,Charlie,Jones,35,Son,Divorced,Male,Arts administrator,None,Catholic
7780,48,Albert Road,Stacey,Jones,27,Daughter,Divorced,Female,"Education officer, museum",None,None
7781,49,Albert Road,Shirley,Jones,33,Head,Married,Female,Chartered accountant,None,None
7782,49,Albert Road,Sean,Jones,34,Husband,Married,Male,Charity fundraiser,None,None
7783,49,Albert Road,Lee,Jones,7,Son,NA,Male,Student,None,NA
7784,49,Albert Road,Francesca,Jones,4,Daughter,NA,Female,Child,None,NA
7785,49,Albert Road,Sandra,Jones,0,Daughter,NA,Female,Child,None,NA
7786,50,Albert Road,Eleanor,Smith,41,Head,Single,Female,Hotel manager,None,Christian
7787,51,Albert Road,Marilyn,Carter,68,Head,Married,Female,Retired Osteopath,None,None
7788,51,Albert Road,Frederick,Carter,70,Husband,Married,Male,"Retired Psychologist, counselling",None,None
